comparison,pair,Cell type category,other Cell type category,symbol,delta,lambda,gene error mean,rank,level
2,endothelial fibroblast,endothelial,fibroblast,PECAM1,-5675.204221536785,9.738770950018807,0.08005591011488684,1,1
9,fibroblast immune_cell,fibroblast,immune_cell,COL1A2,-5512.47453717484,11.578653333038957,0.1516327190646643,1,1
3,endothelial immune_cell,endothelial,immune_cell,EFEMP1,-4869.571132834364,10.43033911811272,0.12227788102364553,1,1
3,endothelial immune_cell,endothelial,immune_cell,HSPG2,-4859.238440725115,10.709321040507678,0.10663640658331042,2,1
9,fibroblast immune_cell,fibroblast,immune_cell,CAVIN1,-4210.28188644352,9.385531188550416,0.052970364451570745,2,1
3,endothelial immune_cell,endothelial,immune_cell,CDH5,-3939.7645024833582,9.310096585457956,0.04458688277006168,3,1
2,endothelial fibroblast,endothelial,fibroblast,CDH5,-3121.721720021329,9.310096585457956,0.04458688277006168,2,1
3,endothelial immune_cell,endothelial,immune_cell,CAVIN1,-2491.6879721723917,9.28149330362931,0.10737363146570522,4,1
3,endothelial immune_cell,endothelial,immune_cell,PTRF,-2330.5076993824578,9.051760038674274,0.0801888205272108,5,1
3,endothelial immune_cell,endothelial,immune_cell,TM4SF1,-1870.136800209534,8.917767499213241,0.10024420697995794,6,1
1,endothelial epithelial,endothelial,epithelial,CDH5,-1789.6895656137094,9.310096585457956,0.04458688277006168,1,1
9,fibroblast immune_cell,fibroblast,immune_cell,COL1A1,-1698.453486541327,11.810127031299746,0.17560475672766981,3,1
9,fibroblast immune_cell,fibroblast,immune_cell,PTRF,-1552.531381267066,8.7340318189784,0.05709610044093196,4,1
12,immune_cell fibroblast,immune_cell,fibroblast,LAPTM5,-1465.3104921890895,9.778827687960803,0.12209197681118654,1,1
3,endothelial immune_cell,endothelial,immune_cell,FSTL1,-1414.2829878146842,8.495311160452255,0.046688131198029455,7,1
10,immune_cell endothelial,immune_cell,endothelial,PTPRC,-1391.7639431955733,9.708069059468915,0.10680518504849615,1,1
2,endothelial fibroblast,endothelial,fibroblast,TIE1,-1384.7048410911425,8.866732070640154,0.04849671566081967,3,1
12,immune_cell fibroblast,immune_cell,fibroblast,PTPRC,-1374.1874902687211,9.708069059468915,0.10680518504849615,2,1
9,fibroblast immune_cell,fibroblast,immune_cell,FSTL1,-1369.4845211421073,9.780994112347635,0.07896953351902081,5,1
11,immune_cell epithelial,immune_cell,epithelial,LAPTM5,-1348.0888990631465,9.778827687960803,0.12209197681118654,1,1
11,immune_cell epithelial,immune_cell,epithelial,PTPRC,-1326.8430053098557,9.708069059468915,0.10680518504849615,2,1
7,fibroblast endothelial,fibroblast,endothelial,COL1A2,-1311.8836697313964,11.578653333038957,0.1516327190646643,1,1
10,immune_cell endothelial,immune_cell,endothelial,LCP1,-1240.6884325152687,9.925004479845352,0.10781541967374102,2,1
12,immune_cell fibroblast,immune_cell,fibroblast,LCP1,-1231.425850287741,9.925004479845352,0.10781541967374102,3,1
9,fibroblast immune_cell,fibroblast,immune_cell,CAV1,-1214.2667317311386,8.986055816861533,0.03840003076585924,6,1
3,endothelial immune_cell,endothelial,immune_cell,CALD1,-1069.0833271728845,8.037445718360047,0.06825493981464875,8,1
7,fibroblast endothelial,fibroblast,endothelial,COL6A2,-1038.5702880794724,10.149345786936166,0.13336298986914075,2,1
3,endothelial immune_cell,endothelial,immune_cell,COL4A1,-1030.464967568732,9.876518252026997,0.13012814721337185,9,1
9,fibroblast immune_cell,fibroblast,immune_cell,COL6A2,-1024.9877427479605,10.149345786936166,0.13336298986914075,7,1
9,fibroblast immune_cell,fibroblast,immune_cell,CNN3,-1008.3719396961686,8.297717669644356,0.05452702076590009,8,1
12,immune_cell fibroblast,immune_cell,fibroblast,NCKAP1L,-948.7215976241724,8.217561512659291,0.06537425141321214,4,1
10,immune_cell endothelial,immune_cell,endothelial,NCKAP1L,-945.609067849209,8.217561512659291,0.06537425141321214,3,1
11,immune_cell epithelial,immune_cell,epithelial,NCKAP1L,-944.8262642856386,8.217561512659291,0.06537425141321214,3,1
2,endothelial fibroblast,endothelial,fibroblast,ROBO4,-868.5439674432644,8.424605549846504,0.05830636631492206,4,1
2,endothelial fibroblast,endothelial,fibroblast,SEC14L1,-822.1555661671241,8.271809200830845,0.038307665475724006,5,1
9,fibroblast immune_cell,fibroblast,immune_cell,EHD2,-789.3078602857178,8.390213229800093,0.06669162095602144,9,1
2,endothelial fibroblast,endothelial,fibroblast,FGD5,-787.9629027007638,7.516010967999312,0.026349685620328828,6,1
10,immune_cell endothelial,immune_cell,endothelial,DOCK2,-747.2536009539094,8.315285358003528,0.10773753043500824,4,1
1,endothelial epithelial,endothelial,epithelial,ROBO4,-730.5383634842408,8.424605549846504,0.05830636631492206,2,1
7,fibroblast endothelial,fibroblast,endothelial,PDGFRA,-666.6620334117829,8.925894048729287,0.10497991741616683,3,1
12,immune_cell fibroblast,immune_cell,fibroblast,DOCK2,-620.6899286911769,8.315285358003528,0.10773753043500824,5,1
2,endothelial fibroblast,endothelial,fibroblast,ERG,-564.6557960522563,7.427833430995985,0.03870573181935958,7,1
2,endothelial fibroblast,endothelial,fibroblast,STAB1,-528.9617212017637,8.757728895481513,0.10992438402754987,8,1
11,immune_cell epithelial,immune_cell,epithelial,DOCK2,-526.2241474215143,8.315285358003528,0.10773753043500824,4,1
2,endothelial fibroblast,endothelial,fibroblast,VWF,-525.784312339069,10.375149713770949,0.17897228229845294,9,1
1,endothelial epithelial,endothelial,epithelial,S1PR1,-521.1761168863798,7.8181107151910645,0.04637991729134788,3,1
1,endothelial epithelial,endothelial,epithelial,CAVIN2,-468.8057356153847,8.280640336692588,0.06798342342151707,4,1
12,immune_cell fibroblast,immune_cell,fibroblast,INPP5D,-456.36962887522,7.810201947014447,0.04203912920919146,6,1
1,endothelial epithelial,endothelial,epithelial,SDPR,-454.7018690380958,8.086424596430362,0.13632897349691137,5,1
1,endothelial epithelial,endothelial,epithelial,ERG,-423.43234750858767,7.427833430995985,0.03870573181935958,6,1
10,immune_cell endothelial,immune_cell,endothelial,PRKCB,-404.9471521773042,8.089493266273745,0.08944836406889994,5,1
12,immune_cell fibroblast,immune_cell,fibroblast,PRKCB,-398.711345401943,8.089493266273745,0.08944836406889994,7,1
10,immune_cell endothelial,immune_cell,endothelial,SASH3,-380.36142833148426,7.83682295371977,0.10047808119199247,6,1
12,immune_cell fibroblast,immune_cell,fibroblast,SASH3,-377.75389647497724,7.83682295371977,0.10047808119199247,8,1
12,immune_cell fibroblast,immune_cell,fibroblast,CD53,-366.9359592327416,8.908282551900541,0.11645067489923913,9,1
11,immune_cell epithelial,immune_cell,epithelial,SASH3,-366.1735974493507,7.83682295371977,0.10047808119199247,5,1
10,immune_cell endothelial,immune_cell,endothelial,CD53,-358.1292158354291,8.908282551900541,0.11645067489923913,7,1
11,immune_cell epithelial,immune_cell,epithelial,CD53,-351.62919458445555,8.908282551900541,0.11645067489923913,6,1
11,immune_cell epithelial,immune_cell,epithelial,PRKCB,-341.9129473070559,8.089493266273745,0.08944836406889994,7,1
1,endothelial epithelial,endothelial,epithelial,SEC14L1,-305.51418383229657,8.271809200830845,0.038307665475724006,7,1
7,fibroblast endothelial,fibroblast,endothelial,CD248,-218.39396594945242,7.969880816673562,0.09204393047033185,4,1
6,epithelial immune_cell,epithelial,immune_cell,CAV2,-207.86871134605826,7.337205308733649,0.08008176110683234,1,1
7,fibroblast endothelial,fibroblast,endothelial,VASN,-205.9645484753668,7.410360669000783,0.08175907875803887,5,1
11,immune_cell epithelial,immune_cell,epithelial,FERMT3,-195.0282200136393,7.816120106319035,0.06006004047154851,8,1
11,immune_cell epithelial,immune_cell,epithelial,KCNAB2,-191.02387122266992,7.53140142043717,0.04657805594263781,9,1
1,endothelial epithelial,endothelial,epithelial,FGD5,-188.57637781098651,7.516010967999312,0.026349685620328828,8,1
6,epithelial immune_cell,epithelial,immune_cell,FKBP10,-185.4834582051251,7.569841803496426,0.11202668058187658,2,1
1,endothelial epithelial,endothelial,epithelial,"LRRC70,p2",-183.842975556962,6.816951157952458,0.11798678319500788,9,1
7,fibroblast endothelial,fibroblast,endothelial,CEMIP,-173.19274770121945,8.882772805430111,0.21898579017842396,6,1
6,epithelial immune_cell,epithelial,immune_cell,PTPRF,-167.01057505914258,7.619347680366471,0.09271615101809337,3,1
6,epithelial immune_cell,epithelial,immune_cell,AMOTL2,-165.95411135035675,6.97171239283235,0.06769489564244044,4,1
6,epithelial immune_cell,epithelial,immune_cell,FBLIM1,-161.43670067106976,7.109798288011818,0.23205235031330051,5,1
6,epithelial immune_cell,epithelial,immune_cell,KIRREL1,-161.2796234332163,7.288993987255766,0.14807533079979102,6,1
7,fibroblast endothelial,fibroblast,endothelial,PCOLCE,-143.52992207011914,9.03365406364816,0.22094975080584284,7,1
6,epithelial immune_cell,epithelial,immune_cell,PARVA,-137.89631317925333,6.752330077224906,0.10250056280145942,7,1
6,epithelial immune_cell,epithelial,immune_cell,CEP170B,-133.6890402320875,6.655479831872674,0.10320117717590879,8,1
6,epithelial immune_cell,epithelial,immune_cell,ADGRL2,-133.54788668697046,6.555713080489611,0.12241715958174708,9,1
7,fibroblast endothelial,fibroblast,endothelial,ENST00000509788,-106.39655791589321,6.247899653552437,0.04144987264741034,8,1
7,fibroblast endothelial,fibroblast,endothelial,LUM,-47.47919972113159,8.17550099081961,0.20248090789729506,9,1
4,epithelial endothelial,epithelial,endothelial,C11orf70,-17.87968954821856,4.689169616416994,0.23870860060092525,1,1
4,epithelial endothelial,epithelial,endothelial,C1orf172,-1.2907694583696454,4.675621622692509,0.49267501165407884,2,1
4,epithelial endothelial,epithelial,endothelial,C19orf46,-0.27490336344680916,4.720902121359912,0.27514505111463927,3,1
4,epithelial endothelial,epithelial,endothelial,"ENST00000426475,p1",-0.24440163373040932,4.530021054828286,0.18494625530549677,4,1
4,epithelial endothelial,epithelial,endothelial,GPR115,-0.1789619237486081,4.635799413180498,0.494293841854596,5,1
4,epithelial endothelial,epithelial,endothelial,AIM1L,-0.0892032113342626,5.3336748745103275,0.4553632944038551,6,1
4,epithelial endothelial,epithelial,endothelial,C8orf73,-0.05787924302953425,4.451143476718789,0.40995584789965955,7,1
4,epithelial endothelial,epithelial,endothelial,DQ126686,-0.01152044244843597,4.400626570548498,0.200686176441544,8,1
4,epithelial endothelial,epithelial,endothelial,PVRL4,-0.010262657053302657,4.987388652827312,0.14675241029356606,9,1
5,epithelial fibroblast,epithelial,fibroblast,KRT24,0.0011072449825297716,5.456910248470368,0.18004966800986683,1,1
5,epithelial fibroblast,epithelial,fibroblast,CRNN,0.007999398416853876,4.448873089955782,0.21481802050423376,2,1
5,epithelial fibroblast,epithelial,fibroblast,IL36G,0.017258604247116303,4.249441851641697,0.23788153563998035,3,1
5,epithelial fibroblast,epithelial,fibroblast,RNF223,0.03857696008771001,4.063151621122962,0.23407207990771808,4,1
5,epithelial fibroblast,epithelial,fibroblast,VGLL1,0.05934713340231754,4.442942195624495,0.13829076953839595,5,1
5,epithelial fibroblast,epithelial,fibroblast,SLC6A14,0.09071787058516673,4.343315304884857,0.22413949826834578,6,1
5,epithelial fibroblast,epithelial,fibroblast,SPINK7,0.11069860047124369,4.542384048217606,0.14453242286508688,7,1
5,epithelial fibroblast,epithelial,fibroblast,RNASE7,0.19703311859724035,5.020697613842296,0.33196200586941,8,1
5,epithelial fibroblast,epithelial,fibroblast,C10orf99,0.224838484253323,5.4297284750218235,0.41928934151363895,9,1
8,fibroblast epithelial,fibroblast,epithelial,OGN,0.3076810327386774,4.614865964417305,0.44130941291126913,1,1
8,fibroblast epithelial,fibroblast,epithelial,DPT,4.409123722370147,4.421282736427443,0.2221459932505035,2,1
8,fibroblast epithelial,fibroblast,epithelial,PLPPR4,4.479497352091378,5.076367415904242,0.45942090299321475,3,1
8,fibroblast epithelial,fibroblast,epithelial,LINC00968,4.524279029732722,4.661594353073795,0.2726398829135601,4,1
8,fibroblast epithelial,fibroblast,epithelial,COL6A6,5.136809077341141,4.025307811055946,0.37562777155676147,5,1
8,fibroblast epithelial,fibroblast,epithelial,EBF2,5.685330617677799,4.585193694865303,0.18410274083984576,6,1
8,fibroblast epithelial,fibroblast,epithelial,ENST00000531798,6.023079703369419,4.49194579942386,0.33838400420537385,7,1
8,fibroblast epithelial,fibroblast,epithelial,SLC1A2,7.198295902692029,4.3962148060640125,0.3671631337780878,8,1
8,fibroblast epithelial,fibroblast,epithelial,MYH11,9.72589090092998,4.12727370870402,0.3639302003835124,9,1
19,mast_cell b_cell,mast_cell,b_cell,CTSG,-90381.96143480849,12.064146662337306,0.06841931568737891,1,2
23,mast_cell natural_killer,mast_cell,natural_killer,CTSG,-90371.828743791,12.064146662337306,0.06841931568737891,1,2
20,mast_cell dendritic,mast_cell,dendritic,CTSG,-90371.7199918597,12.064146662337306,0.06841931568737891,1,2
24,mast_cell t_cell,mast_cell,t_cell,CTSG,-90043.36344393791,12.064146662337306,0.06841931568737891,1,2
22,mast_cell mono_derived,mast_cell,mono_derived,CTSG,-90021.87506434212,12.064146662337306,0.06841931568737891,1,2
21,mast_cell granulocyte,mast_cell,granulocyte,CTSG,-87244.58549549949,12.064146662337306,0.06841931568737891,1,2
23,mast_cell natural_killer,mast_cell,natural_killer,CPA3,-37633.899082317555,11.491244671877288,0.1263692580235879,2,2
19,mast_cell b_cell,mast_cell,b_cell,CPA3,-37630.40807165749,11.491244671877288,0.1263692580235879,2,2
20,mast_cell dendritic,mast_cell,dendritic,CPA3,-37607.92981727861,11.491244671877288,0.1263692580235879,2,2
24,mast_cell t_cell,mast_cell,t_cell,CPA3,-37605.541991696424,11.491244671877288,0.1263692580235879,2,2
21,mast_cell granulocyte,mast_cell,granulocyte,CPA3,-37372.519623465334,11.491244671877288,0.1263692580235879,2,2
22,mast_cell mono_derived,mast_cell,mono_derived,CPA3,-37281.14883916182,11.491244671877288,0.1263692580235879,2,2
9,dendritic mast_cell,dendritic,mast_cell,CD74,-22823.976487197117,12.019587702253595,0.1322224102537011,1,2
19,mast_cell b_cell,mast_cell,b_cell,KIT,-18491.920083243076,10.679180809208637,0.12005989564417854,3,2
20,mast_cell dendritic,mast_cell,dendritic,KIT,-18453.053977048603,10.679180809208637,0.12005989564417854,3,2
22,mast_cell mono_derived,mast_cell,mono_derived,KIT,-18447.267924105352,10.679180809208637,0.12005989564417854,3,2
24,mast_cell t_cell,mast_cell,t_cell,KIT,-18305.15298087551,10.679180809208637,0.12005989564417854,3,2
21,mast_cell granulocyte,mast_cell,granulocyte,KIT,-18094.68373573698,10.679180809208637,0.12005989564417854,3,2
23,mast_cell natural_killer,mast_cell,natural_killer,KIT,-17840.639586031837,10.679180809208637,0.12005989564417854,3,2
32,natural_killer dendritic,natural_killer,dendritic,S69623,-14201.273252240944,10.031723246706623,0.1156061715357956,1,2
30,mono_derived t_cell,mono_derived,t_cell,PSAP,-13235.89546705504,11.45925080621188,0.11299797230643559,1,2
25,mono_derived b_cell,mono_derived,b_cell,PSAP,-12499.465173447956,11.45925080621188,0.11299797230643559,1,2
15,granulocyte mast_cell,granulocyte,mast_cell,ITGB2,-12166.832811209568,10.023753983314702,0.03900760627075819,1,2
32,natural_killer dendritic,natural_killer,dendritic,GNLY,-11313.636938578054,10.328358413757382,0.07217137327283997,2,2
31,natural_killer b_cell,natural_killer,b_cell,GNLY,-11224.644024513314,10.328358413757382,0.07217137327283997,1,2
34,natural_killer mast_cell,natural_killer,mast_cell,GNLY,-11179.798145740422,10.328358413757382,0.07217137327283997,1,2
8,dendritic granulocyte,dendritic,granulocyte,CD74,-10836.286634252509,12.019587702253595,0.1322224102537011,1,2
28,mono_derived mast_cell,mono_derived,mast_cell,CTSS,-10475.451138677838,10.349391380782272,0.03115616353990432,1,2
19,mast_cell b_cell,mast_cell,b_cell,FCER1G,-10459.450252551793,10.421390379362187,0.09540611478560833,4,2
9,dendritic mast_cell,dendritic,mast_cell,HLA-DRA,-10221.206478303651,11.028870189680786,0.08079394273101798,2,2
19,mast_cell b_cell,mast_cell,b_cell,ANXA1,-10088.839297582179,10.978305953700325,0.13149052434023034,5,2
21,mast_cell granulocyte,mast_cell,granulocyte,VWA5A,-10063.334941938168,9.968698770199346,0.06585572640300007,4,2
24,mast_cell t_cell,mast_cell,t_cell,VWA5A,-9901.845871752983,9.968698770199346,0.06585572640300007,4,2
33,natural_killer granulocyte,natural_killer,granulocyte,GNLY,-9879.600240516687,10.328358413757382,0.07217137327283997,1,2
19,mast_cell b_cell,mast_cell,b_cell,VWA5A,-9870.389037282996,9.968698770199346,0.06585572640300007,6,2
23,mast_cell natural_killer,mast_cell,natural_killer,VWA5A,-9835.34775602589,9.968698770199346,0.06585572640300007,4,2
32,natural_killer dendritic,natural_killer,dendritic,"ENST00000392730,p1",-9514.657909411224,10.222861392970753,0.05838127241687374,3,2
3,b_cell mast_cell,b_cell,mast_cell,CD74,-9199.299905409242,11.68916907160328,0.25929467951272905,1,2
