ct1,ct2,level,error mean,error min,error mean relative,n markers
granulocyte,t_cell,2,0.06966444035111242,0.004153771017309046,4.095286600610116,82
epithelial,immune_cell,1,0.06124519070329398,0.004153771017309046,3.8398540702916573,77
epithelial,fibroblast,1,0.05811666818973183,0.004153771017309046,3.7404949979942725,75
dendritic,natural_killer,2,0.05610709223079595,0.004153771017309046,3.6752560827772593,74
mono_derived,t_cell,2,0.05201550193815382,0.004153771017309046,3.5387112030350454,71
dendritic,granulocyte,2,0.0497120652720013,0.004153771017309046,3.4594704650353254,70
dendritic,mast_cell,2,0.04790584464983918,0.004153771017309046,3.3960413929136277,68
mast_cell,natural_killer,2,0.04718424669576287,0.004153771017309046,3.370367335181578,68
b_cell,dendritic,2,0.04199009478742154,0.004153771017309046,3.179451112559044,64
endothelial,immune_cell,1,0.03890994563444391,0.004153771017309046,3.0606173519975353,62
mast_cell,mono_derived,2,0.03709581900435475,0.004153771017309046,2.988417053666783,60
natural_killer,t_cell,2,0.035539874061987935,0.004153771017309046,2.9250727124289093,59
granulocyte,mono_derived,2,0.032843113736822596,0.004153771017309046,2.8119065687063935,57
dendritic,t_cell,2,0.029773185016274517,0.004153771017309046,2.677265072477942,54
fibroblast,immune_cell,1,0.02950723884477166,0.004153771017309046,2.6652810418171353,54
b_cell,natural_killer,2,0.029442063586101137,0.004153771017309046,2.662335893158645,54
granulocyte,natural_killer,2,0.02842305847252846,0.004153771017309046,2.615857779903074,53
mono_derived,natural_killer,2,0.02824747727538553,0.004153771017309046,2.6077656360600563,53
b_cell,t_cell,2,0.022805595724461853,0.004153771017309046,2.343146457066386,47
endothelial,epithelial,1,0.01745128496773009,0.004153771017309046,2.049710044156328,41
mast_cell,t_cell,2,0.01387884207567545,0.004153771017309046,1.8279122408124382,37
granulocyte,mast_cell,2,0.011244577094938238,0.004153771017309046,1.64531966070695,33
b_cell,granulocyte,2,0.010014979249869077,0.004153771017309046,1.552757912665152,32
dendritic,mono_derived,2,0.009918078760328786,0.004153771017309046,1.5452277559446155,31
endothelial,fibroblast,1,0.008798162440626174,0.004153771017309046,1.455374335512849,30
b_cell,mono_derived,2,0.008654798580894352,0.004153771017309046,1.4434681535716722,29
b_cell,mast_cell,2,0.004153771017309046,0.004153771017309046,1,20
t_cell,granulocyte,2,0.06966444035111242,0.004153771017309046,4.095286600610116,82
immune_cell,epithelial,1,0.06124519070329398,0.004153771017309046,3.8398540702916573,77
fibroblast,epithelial,1,0.05811666818973183,0.004153771017309046,3.7404949979942725,75
natural_killer,dendritic,2,0.05610709223079595,0.004153771017309046,3.6752560827772593,74
t_cell,mono_derived,2,0.05201550193815382,0.004153771017309046,3.5387112030350454,71
granulocyte,dendritic,2,0.0497120652720013,0.004153771017309046,3.4594704650353254,70
mast_cell,dendritic,2,0.04790584464983918,0.004153771017309046,3.3960413929136277,68
natural_killer,mast_cell,2,0.04718424669576287,0.004153771017309046,3.370367335181578,68
dendritic,b_cell,2,0.04199009478742154,0.004153771017309046,3.179451112559044,64
immune_cell,endothelial,1,0.03890994563444391,0.004153771017309046,3.0606173519975353,62
mono_derived,mast_cell,2,0.03709581900435475,0.004153771017309046,2.988417053666783,60
t_cell,natural_killer,2,0.035539874061987935,0.004153771017309046,2.9250727124289093,59
mono_derived,granulocyte,2,0.032843113736822596,0.004153771017309046,2.8119065687063935,57
t_cell,dendritic,2,0.029773185016274517,0.004153771017309046,2.677265072477942,54
immune_cell,fibroblast,1,0.02950723884477166,0.004153771017309046,2.6652810418171353,54
natural_killer,b_cell,2,0.029442063586101137,0.004153771017309046,2.662335893158645,54
natural_killer,granulocyte,2,0.02842305847252846,0.004153771017309046,2.615857779903074,53
natural_killer,mono_derived,2,0.02824747727538553,0.004153771017309046,2.6077656360600563,53
t_cell,b_cell,2,0.022805595724461853,0.004153771017309046,2.343146457066386,47
epithelial,endothelial,1,0.01745128496773009,0.004153771017309046,2.049710044156328,41
t_cell,mast_cell,2,0.01387884207567545,0.004153771017309046,1.8279122408124382,37
mast_cell,granulocyte,2,0.011244577094938238,0.004153771017309046,1.64531966070695,33
granulocyte,b_cell,2,0.010014979249869077,0.004153771017309046,1.552757912665152,32
mono_derived,dendritic,2,0.009918078760328786,0.004153771017309046,1.5452277559446155,31
fibroblast,endothelial,1,0.008798162440626174,0.004153771017309046,1.455374335512849,30
mono_derived,b_cell,2,0.008654798580894352,0.004153771017309046,1.4434681535716722,29
mast_cell,b_cell,2,0.004153771017309046,0.004153771017309046,1,20
