sample,error mean,pair,ct1,ct2,error min,error mean relative,n markers pass 1,n markers
157_mono_derived t_cell,0.4673674359094178,dendritic mono_derived,dendritic,mono_derived,0.05,3.057343408612836,31,NA
147_b_cell natural_killer,0.44944402840299896,t_cell natural_killer,t_cell,natural_killer,0.05,2.9981461885738625,59,NA
153_granulocyte mono_derived,0.4395118820232965,dendritic mono_derived,dendritic,mono_derived,0.05,2.9648334928737445,31,NA
230_dendritic mono_derived,0.4368201556956953,b_cell dendritic,b_cell,dendritic,0.05,2.9557407047834734,64,NA
69_dendritic t_cell,0.41054982150844654,natural_killer t_cell,natural_killer,t_cell,0.05,2.865483629366765,59,NA
234_granulocyte mono_derived,0.3417369532929943,dendritic mono_derived,dendritic,mono_derived,0.05,2.61433338843,31,NA
77_mast_cell mono_derived,0.33342077939137527,dendritic mono_derived,dendritic,mono_derived,0.05,2.5823275523890277,31,NA
228_b_cell natural_killer,0.3039811004144666,t_cell natural_killer,t_cell,natural_killer,0.05,2.4656889520556584,59,NA
72_granulocyte mono_derived,0.23634672656072192,t_cell granulocyte,t_cell,granulocyte,0.05,2.1741514508456943,82,NA
18_granulocyte mono_derived,0.23196379816368626,natural_killer granulocyte,natural_killer,granulocyte,0.05,2.1538978534911366,53,NA
66_b_cell natural_killer,0.18745196365025218,t_cell natural_killer,t_cell,natural_killer,0.05,1.9362435985704494,59,NA
215_natural_killer t_cell,0.18008384638190905,b_cell natural_killer,b_cell,natural_killer,0.05,1.8978084538852125,54,NA
163_endothelial epithelial,0.17642060642551075,fibroblast endothelial,fibroblast,endothelial,0.05,1.8784068059156447,30,NA
76_mono_derived t_cell,0.17132217884194403,natural_killer mono_derived,natural_killer,mono_derived,0.05,1.8510655247286305,53,NA
44_dendritic natural_killer,0.1652758799165663,t_cell natural_killer,t_cell,natural_killer,0.05,1.818108247143532,59,NA
132_mono_derived natural_killer,0.15205791993053608,t_cell natural_killer,t_cell,natural_killer,0.05,1.7438917393607671,59,NA
12_b_cell natural_killer,0.14199212496272193,t_cell natural_killer,t_cell,natural_killer,0.05,1.6851832242383729,59,NA
269_natural_killer t_cell,0.13669837442916477,mono_derived natural_killer,mono_derived,natural_killer,0.05,1.6534713449537901,53,NA
210_granulocyte natural_killer,0.12588960945272223,b_cell natural_killer,b_cell,natural_killer,0.05,1.5867552391766175,54,NA
122_dendritic mono_derived,0.12573822384803363,endothelial mono_derived,endothelial,mono_derived,0.05,1.585800894488546,NA,NA
120_b_cell natural_killer,0.11778791999184468,t_cell natural_killer,t_cell,natural_killer,0.05,1.5348480054509936,59,NA
183_granulocyte natural_killer,0.11749640889854715,t_cell natural_killer,t_cell,natural_killer,0.05,1.5329475457336896,59,NA
264_granulocyte natural_killer,0.11740043112992676,b_cell granulocyte,b_cell,granulocyte,0.05,1.5323213183267193,32,NA
243_mast_cell natural_killer,0.11617108428293955,b_cell natural_killer,b_cell,natural_killer,0.05,1.5242774306729043,54,NA
27_mast_cell natural_killer,0.11494021344129962,b_cell natural_killer,b_cell,natural_killer,0.05,1.5161808166660045,54,NA
206_dendritic natural_killer,0.10791855657561977,t_cell natural_killer,t_cell,natural_killer,0.05,1.4691395888452519,59,NA
247_epithelial fibroblast,0.10150592622800975,endothelial fibroblast,endothelial,fibroblast,0.05,1.4248222782369016,30,NA
17_dendritic natural_killer,0.1014803254034614,t_cell natural_killer,t_cell,natural_killer,0.05,1.42464258958843,59,NA
260_dendritic natural_killer,0.09226228039151668,t_cell natural_killer,t_cell,natural_killer,0.05,1.3583981772036995,59,NA
171_b_cell mono_derived,0.09198423654809465,dendritic mono_derived,dendritic,mono_derived,0.05,1.356349781937496,31,NA
94_dendritic granulocyte,0.09000210516016792,b_cell dendritic,b_cell,dendritic,0.05,1.3416564773455828,64,NA
168_fibroblast immune_cell,0.08858105075829865,endothelial immune_cell,endothelial,immune_cell,0.05,1.3310225449503,62,NA
267_mono_derived natural_killer,0.08632272611353492,t_cell natural_killer,t_cell,natural_killer,0.05,1.3139461641447485,59,NA
78_mono_derived natural_killer,0.0843619217374785,dendritic mono_derived,dendritic,mono_derived,0.05,1.2989374252632688,31,NA
52_mast_cell t_cell,0.08418408146912382,natural_killer t_cell,natural_killer,t_cell,0.05,1.297567581817023,59,NA
96_dendritic t_cell,0.08418168279823995,b_cell dendritic,b_cell,dendritic,0.05,1.2975490957820437,64,NA
161_natural_killer t_cell,0.07539456008767426,mono_derived t_cell,mono_derived,t_cell,0.05,1.2279622151163632,71,NA
193_epithelial fibroblast,0.07284701370025534,endothelial fibroblast,endothelial,fibroblast,0.05,1.20703780968332,30,NA
182_granulocyte mast_cell,0.07215995543427087,mono_derived granulocyte,mono_derived,granulocyte,0.05,1.2013322224453222,57,NA
8_b_cell granulocyte,0.0708674475150385,mono_derived granulocyte,mono_derived,granulocyte,0.05,1.1905246533779843,57,NA
48_granulocyte natural_killer,0.0687223062729404,b_cell granulocyte,b_cell,granulocyte,0.05,1.1723677432694948,32,NA
5_epithelial immune_cell,0.0656201861141261,fibroblast epithelial,fibroblast,epithelial,0.05,1.145601903927591,75,NA
117_b_cell mono_derived,0.06513653441236007,dendritic mono_derived,dendritic,mono_derived,0.05,1.1413722829327868,31,NA
233_dendritic natural_killer,0.06457232935804691,mono_derived natural_killer,mono_derived,natural_killer,0.05,1.136418315217129,53,NA
107_natural_killer t_cell,0.06285213099050885,b_cell t_cell,b_cell,t_cell,0.05,1.1211791203060182,47,NA
201_b_cell natural_killer,0.062186077654855815,t_cell natural_killer,t_cell,natural_killer,0.05,1.1152226473207565,59,NA
55_endothelial epithelial,0.060783647163050555,fibroblast endothelial,fibroblast,endothelial,0.05,1.1025755952591236,30,NA
148_dendritic granulocyte,0.06021472196585937,mono_derived granulocyte,mono_derived,granulocyte,0.05,1.097403498863197,57,NA
113_epithelial immune_cell,0.06014720098552553,endothelial immune_cell,endothelial,immune_cell,0.05,1.096788046848848,62,NA
86_epithelial immune_cell,0.05781896739963447,endothelial immune_cell,endothelial,immune_cell,0.05,1.075350802293228,62,NA
53_natural_killer t_cell,0.0576983609424791,b_cell natural_killer,b_cell,natural_killer,0.05,1.0742286622733457,54,NA
140_epithelial immune_cell,0.053982061567895534,fibroblast immune_cell,fibroblast,immune_cell,0.05,1.0390578575603528,54,NA
